ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
Cbur00339_at			2.796	2.082
Cbur00341_at			2.093	1.956
Cbur00345_at	guaB	inosine-5'-monophosphate dehydrogenase	2.403	2.257
Cbur00347_at			3.547	3.146
Cbur00351_at	dnaE	DNA polymerase III subunit alpha	3.445	2.97
Cbur00356_at			2.859	2.68
Cbur00360_at			2.445	2.246
Cbur00362_at			2.557	1.951
Cbur00366_at			3.571	3.308
Cbur00367_s_at			2.293	1.723
Cbur00368_at			2.123	2.396
Cbur00371_at	infC	translation initiation factor IF-3	2.805	2.214
Cbur00378_at	pheT	phenylalanyl-tRNA synthetase subunit beta	3.933	2.707
Cbur00380_at	ihfA	integration host factor subunit alpha	2.241	2.151
Cbur00381_at			3.377	2.663
Cbur00383_at			3.016	2.786
Cbur00384_at			2.457	1.92
Cbur00389_at			2.974	2.716
Cbur00390_x_at			2.182	2.294
Cbur00391_at			2.182	1.893
Cbur00392_at			3.254	1.852
Cbur00395_at			2.6	1.825
Cbur00396_at			3.645	2.637
Cbur00399_at	smpB	SsrA-binding protein	4.127	3.037
Cbur00400_at			3.252	3.174
Cbur00401_at			3.071	2.252
Cbur00402_at			3.121	2.534
Cbur00403_at	fur	ferric uptake regulation protein	3.223	3.19
Cbur00406_at			3.302	2.682
Cbur00407_at			3.152	1.885
Cbur00408_at	recN	DNA repair protein	2.524	1.772
Cbur00411_at			4.275	2.85
Cbur00413_at			2.537	2.449
Cbur00415_at	dnaK	molecular chaperone DnaK	2.17	2.28
Cbur00417_at	dnaJ	molecular chaperone DnaJ	2.962	1.703
Cbur00421_at			3.154	2.423
Cbur00423_at			2.988	2.203
Cbur00430_at			2.026	1.705
Cbur00431_at			2.005	2.056
Cbur00433_at			2.923	2.072
Cbur00434_at	greA	transcription elongation factor	3.25	2.844
Cbur00437_at			2.617	1.716
Cbur00439_at	eda	2-dehydro-3-deoxyphosphooctonate aldolase	1.994	1.872
Cbur00440_at			1.744	1.649
Cbur00441_at	RspA	mandelate racemase	2.101	1.858
Cbur00442_at			2.381	2.22
Cbur00444_at			2.601	1.963
Cbur00446_at			2.429	2.13
Cbur00447_at			3.78	2.956
Cbur00454_at			2.344	2.463
Cbur00456_at	lipA	lipoyl synthase	2.039	2.155
Cbur00459_at			3.289	2.024
Cbur00462_at			3.24	1.747
Cbur00464_at			2.811	2.353
Cbur00465_at			1.971	2.075
Cbur00468_at	ndk	nucleoside diphosphate kinase	2.231	1.7
Cbur00473_at			3.297	2.43
Cbur00478_s_at			2.605	1.937
Cbur00479_at			2.367	1.892
Cbur00480_at			2.372	2.633
Cbur00481_at	hisS	histidyl-tRNA synthetase	3.945	3.258
Cbur00482_at			1.967	1.87
Cbur00486_at			2.529	2.004
Cbur00488_at			3.676	2.518
Cbur00489_at	xseA	exodeoxyribonuclease VII large subunit	2.879	2.1
Cbur00492_at	mdh	malate dehydrogenase	2.665	2.544
Cbur00494_at	gcp	DNA-binding/iron metalloprotein/AP endonuclease	2.524	2.618
Cbur00495_at			2.704	1.737
Cbur00496_at			2.546	2.126
Cbur00497_at			1.933	1.693
Cbur00500_at			4.032	3.01
Cbur00503_s_at			2.65	2.178
Cbur00505_at			4.441	3.252
Cbur00508_at			2.468	2.639
Cbur00511_at			2.523	2.237
Cbur00516_at	kdgK	2-dehydro-3-deoxygluconokinase	2.928	1.728
Cbur00517_at	dapA	4-hydroxy-tetrahydrodipicolinate synthase	2.126	2.147
Cbur00518_at			2.33	2.358
Cbur00519_at	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase	3.138	2.623
Cbur00521_at			2.646	2.895
Cbur00526_at			2.619	1.686
Cbur00527_at			3.381	2.303
Cbur00528_at			4.138	3.927
Cbur00529_at			3.097	1.665
Cbur00531_at			2.436	2.714
Cbur00539_at			2.497	1.906
Cbur00542_at			3.307	2.991
Cbur00545_at			2.353	2.378
Cbur00549_at			2.884	2.004
Cbur00551_at	icd	NADP	2.921	1.834
Cbur00554_at			2.08	2.154
Cbur00556_at	infA	translation initiation factor IF-1	3.095	3.199
Cbur00557_at			1.725	1.674
Cbur00558_at	trxB	thioredoxin-disulfide reductase	2.115	2.019
Cbur00560_s_at			3.472	3.151
Cbur00561_at	ftsK	DNA translocase FtsK	1.847	1.84
Cbur00562_at	lolA	outer-membrane lipoproteins carrier protein	2.287	2.339
Cbur00564_at			1.854	1.683
Cbur00565_at	serS	seryl-tRNA synthetase	2.592	2.398
Cbur00566_at			3.068	2.216
Cbur00577_at	iscS	class V aminotransferase	4.229	2.387
Cbur00582_at			2.727	2.463
Cbur00585_at	phrB	deoxyribodipyrimidine photolyase	3.105	2.115
Cbur00587_at			2.911	1.985
Cbur00592_at			3.123	2.187
Cbur00595_at			1.711	1.818
Cbur00596_at			2.64	2.871
Cbur00597_at			3.321	3.387
Cbur00599_at			2.713	1.913
Cbur00602_at			2.678	2.297
Cbur00603_at			4.258	3.361
Cbur00604_at			2.472	2.622
Cbur00606_at			1.642	1.678
Cbur00610_at			2.574	2.251
Cbur00611_at			2.999	1.772
Cbur00615_at	trpA	tryptophan synthase subunit alpha	3.198	2.232
Cbur00616_at	trpBF	bifunctional phosphoribosylanthranilate isomerase/tryptophan synthase subunit beta	4.297	3.02
Cbur00617_at	trpC	indole-3-glycerol phosphate synthase	2.013	2.032
Cbur00625_at			2.767	2.65
Cbur00626_s_at			3.866	2.129
Cbur00627_at			3.071	2.078
Cbur00629_at	mfd	transcription-repair coupling factor	2.97	2.293
Cbur00631_at			4.033	2.816
Cbur00632_at			2.329	1.67
Cbur00634_x_at			3.002	1.882
Cbur00636_at			2.35	2.017
Cbur00640_at	secF	preprotein translocase subunit SecF	2.596	2.288
Cbur00644_at			1.945	1.889
Cbur00648_at			1.852	1.867
Cbur00650_at			3.636	3.626
Cbur00651_at	suhB	myo-inositol-1(or 4)-monophosphatase	2.509	2.594
Cbur00654_at			2.693	2.953
Cbur00655_at	iscS	class V aminotransferase	3.185	1.791
Cbur00658_at			3.038	2.98
Cbur00661_at			2.105	2.016
Cbur00662_at			2.579	2.43
Cbur00667_at			2.565	2.331
Cbur00669_at	etfA	electron transfer flavoprotein subunit alpha	3.172	2.162
Cbur00671_at			2.156	2.201
Cbur00672_at			3.038	2.132
Cbur00677_at			2.722	2.276
Cbur00682_at			2.922	1.829
Cbur00684_at			2.717	2.885
Cbur00688_at			2.235	2.311
Cbur00693_at			4.093	2.132
Cbur00698_at	fumC	fumarate hydratase	1.873	1.633
Cbur00704_at			2.669	2.086
Cbur00705_at	vacB	ribonuclease R	2.077	1.663
Cbur00709_at			2.802	2.459
Cbur00716_at			3.168	3.296
Cbur00717_at	mutL	DNA mismatch repair protein	2.888	2.047
Cbur00718_at	miaA	tRNA delta(2)-isopentenylpyrophosphate transferase	3.684	2.356
Cbur00724_at			3.232	1.889
Cbur00725_at			2.682	2.773
Cbur00729_at	nagZ	beta-hexosaminidase	2.217	2.2
Cbur00734_at			3.487	2.366
Cbur00739_at	tgt	queuine tRNA-ribosyltransferase	2.693	1.823
Cbur00742_at			2.218	1.844
Cbur00744_at			3.337	2.488
Cbur00748_at			1.975	1.812
Cbur00750_at			2.943	1.745
Cbur00752_at			3.051	2.522
Cbur00753_at			3.63	2.906
Cbur00756_at			2.799	2.24
Cbur00757_at			4.422	3.573
Cbur00758_at			3.424	2.926
Cbur00759_at			1.832	2.029
Cbur00761_at	mutS	DNA mismatch repair protein MutS	3.555	3.375
Cbur00762_at			4.194	4.152
Cbur00764_at	recA	recombinase A	2.411	2.554
Cbur00769_at			3.493	3.209
Cbur00773_at			2.962	1.746
Cbur00776_at			3.967	2.898
Cbur00781_at			3.256	1.821
Cbur00784_at	cyoC	cytochrome c oxidase polypeptide III	2.066	1.804
Cbur00791_at	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	2.42	2.216
Cbur00795_at			3.443	2.608
Cbur00798_at			2.431	2.179
Cbur00799_at			2.247	2.032
Cbur00802_at			2.708	1.664
Cbur00804_at			3.247	2.701
Cbur00805_at			3.234	3.028
Cbur00807_at			2.944	1.706
Cbur00809_at			2.71	2.824
Cbur00814_at			2.334	1.704
Cbur00817_at			3.693	3.492
Cbur00826_at			2.517	2.649
Cbur00827_at			4.252	2.726
Cbur00829_at			3.598	2.278
Cbur00832_at			2.379	1.642
Cbur00833_at			2.466	2.301
Cbur00834_at	purA	adenylosuccinate synthetase	1.868	1.911
Cbur00835_at			2.134	2.142
Cbur00837_at			3.739	3.013
Cbur00839_at	def	peptide deformylase	2.842	2.937
Cbur00840_at			2.523	1.933
Cbur00841_at			2.948	1.977
Cbur00842_at			3.781	2.026
Cbur00844_at			2.537	2.525
Cbur00845_at	ung	uracil-DNA glycosylase	2.896	2
Cbur00848_at			2.98	2.123
